"lon","lat"
6.269867,51.283714
10.766991,59.56605
17.826824,59.737968
8.661175,49.412704
11.132741,53.169109
10.705876,49.145279
11.872755,58.351556
22.175515,65.747703
12.259396,55.962921
11.663493,53.443069
6.201297,50.76693
17.729501,59.729768
9.602246,50.776649
8.879495,50.044197
10.305417,50.042305
6.37383,50.892803
9.000484,50.516373
10.388947,52.422001
7.735833,58.386024
16.460172,59.388941
6.385417,50.890602
8.658707,50.177235
10.373773,48.873989
12.436214,57.97474
8.893089,50.436352
8.999529,58.719572
7.908525,58.095206
6.379795,50.703934
12.432845,57.972053
15.08222,60.356051
9.039538,50.008598
10.705876,49.145279
9.000484,50.516373
11.765225,47.677444
11.078625,53.149727
10.201267,47.824905
11.037683,53.189651
13.580775,52.531105
7.634395,58.614996
10.412193,61.181756
9.096138,47.687462
11.071701,53.152321
11.469105,48.651035
12.102929,56.025901
6.45,49.81
10.395511,63.37624
17.64744,59.164367
12.898622,50.900043
8.91223,50.450455
10.237473,50.040527
10.113087,52.616806
11.515144,59.516715
7.871973,58.079687
18.738542,63.310608
12.239124,58.393053
17.330218,60.455089
11.469093,48.651028
6.390953,50.705482
18.278192,59.210409
12.977833,51.145785
17.592642,59.835259
12.64933,58.340091
12.043533,58.406572
17.866709,59.433977
6.367078,50.720291
13.415773,53.561352
6.205602,51.023205
13.638159,52.316715
8.998176,49.68327
11.637513,60.815781
17.338186,60.462198
18.288172,58.950242
-4.33938,50.73112
6.226959,51.019073
6.760505,58.623851
16.343805,58.942434
10.899098,59.604701
16.8042,60.629321
