"X","Y"
-2248107.36134345,138727.804549253
-1592113.70094069,852471.927515645
-1219322.29720427,725246.016290212
-2188439.36321903,-126820.065135379
-1864064.42156844,187222.639307176
-2066823.14848359,-216212.099688814
-1590832.79484372,702426.589649605
-806886.374962494,1300405.15084431
-1675467.31914025,446967.565596433
-1820044.04543535,201457.906807361
-2278291.49592058,89010.1601130586
-1224758.40007816,726113.119152927
-2065839.47341375,-15746.0744312034
-2145269.85566938,-69017.9754964467
-2053814.74147253,-111907.78871093
-2261382.09766216,96056.5338621804
-2115790.61357784,-24421.748870704
-1942572.22020547,130625.201383113
-1804641.35514543,808483.589863923
-1304587.3748726,713573.018497214
-2260780.87189509,95459.4918936108
-2153172.84389998,-48652.9088442982
-2100538.63525934,-234395.341400076
-1577562.23374693,650610.066831542
-2126284.71406848,-29347.4867400998
-1723107.52894744,809444.929644003
-1810622.4063449,774762.985932591
-2270457.6106649,76855.6510449805
-1577861.61989238,650410.133356715
-1337967.76878417,841479.490538229
-2136678.46756531,-77548.0272052487
-2066823.14848359,-216212.099688814
-2115790.61357784,-24421.748870704
-2057375.09585298,-399365.09845422
-1868189.88413874,186675.421636076
-2157639.60672957,-337444.50918758
-1868892.9959438,191890.451864818
-1740764.48212996,57662.2004375336
-1798039.45179029,834080.723896763
-1532466.57067035,1024870.14850921
-2238225.40267632,-317178.51917427
-1868493.265772,187128.763895018
-2037069.13551691,-289630.527372795
-1681576.71117553,457278.029985722
-2310507.08430711,-15502.2283306853
-1426271.44741433,1247250.3888838
-1249683.70337572,667789.850776247
-1850138.41414497,-95128.8978515214
-2124420.53933444,-28487.2870083037
-2058277.18036231,-110099.901059719
-1950580.09940201,158341.881201844
-1556375.80404519,830199.495105383
-1813302.84679407,774173.056302773
-1045020.53337514,1088060.11146034
-1569564.01170402,698259.572503648
-1218889.23135841,809839.765635354
-2037070.23331279,-289630.907162863
-2269692.32787678,76648.5579840643
-1214150.86115371,661353.860989105
-1835039.79345499,-71575.7348633496
-1228118.26274369,739713.571627005
-1550105.84058073,683473.633178838
-1579321.40572801,704139.822709552
-1228195.54254709,692363.412593462
-2270424.29752912,78915.6448387159
-1709041.01155928,169307.63649633
-2265141.49338774,114628.911197333
-1745807.74564347,33821.2152952978
-2154250.52452755,-109576.82223679
-1490291.26699177,960395.068206672
-1218214.14749127,810447.623738997
-1222798.90526404,633574.814304828
-2896326.51514304,479398.499784275
-2264043.98387692,113519.9689931
-1841796.92781002,858237.739657624
-1327888.15555654,668843.458187888
-1583601.88616092,853343.120994982
-1239311.31706788,837645.085729466
-1493857.84230891,590464.535408564
-2186674.40875384,-293934.743517395
-2037616.48523627,-289956.911659123
-1761068.0262455,54225.2382489222
-1868607.6796873,191540.03303649
-1219005.94343636,658782.607189801
-1603995.43256726,794148.001206988
-2159669.47372239,-116145.256071134
-2071120.0764976,-127634.710369472
-1247228.80356678,798266.374998776
-1305457.23237544,754771.22936064
-1712905.19425029,-67660.7622161234
-1851018.73770479,-96985.1215832879
-1824162.58292971,220955.201674834
-2072835.23184332,-25384.3204195641
-1570663.08442737,895645.198071763
-1223877.15497773,686038.832264673
-2011265.12850924,-251767.652902609
-1239551.43235359,835018.592621234
-1679558.05614847,900252.037046539
-1861805.51850301,185808.705981548
-1683123.1824987,457025.888824059
-1866836.83333539,599228.184038843
-1410398.15180804,-348944.981754796
-1445170.69065166,716637.525519751
-1931734.75991537,-316696.95635905
-2276466.59050593,108851.599519484
-2269655.81342036,123584.499456624
-1811643.87675784,566740.507019738
-2053006.72139593,-316658.418601249
-1246498.1598968,713223.627167739
-2323355.00637591,31951.6324083279
-1266661.76285061,690540.509755325
